node_num,node_name,node_type,outgoing_weight,incoming_weight,total_weight
1675,RRAS2,gene,0.26143346,0.2224902558,0.48392371580000004
1676,RRM2,gene,0.0,1.678101212,1.678101212
1677,RRM2B,gene,0.0,1.6624413439999999,1.6624413439999999
1678,RSPO1,gene,0.0,0.0,0.0
1679,RSPO2,gene,0.0,0.0,0.0
1680,RSPO3,gene,0.0,0.0,0.0
1681,RSPO4,gene,0.0,0.0,0.0
1682,RUVBL1,gene,0.0,0.0,0.0
1683,RXFP1,gene,0.0,0.0,0.0
1684,RXFP2,gene,0.0,0.0,0.0
1685,RXFP3,gene,0.465605149,0.0,0.465605149
1686,RXFP4,gene,0.0,0.0,0.0
1687,RXRA,gene,33.3273653008,15.223810208,48.5511755088
1688,RXRB,gene,30.7833641132,15.84780303,46.6311671432
1689,RXRG,gene,31.9746635726,16.984663784000002,48.9593273566
1690,RYK,gene,0.0,0.0,0.0
1691,RYR1,gene,0.0,0.0,0.0
1692,RYR2,gene,0.0,0.0,0.0
1693,RYR3,gene,0.0,0.0,0.0
1694,S100A7,gene,0.0,1.1728536997999999,1.1728536997999999
1695,S100A7A,gene,0.0,1.4701816864000001,1.4701816864000001
1696,S100A8,gene,0.0,1.4231060005,1.4231060005
1697,S100A9,gene,0.0,1.3532878353999998,1.3532878353999998
1698,S1PR1,gene,0.2107255528,0.0,0.2107255528
1699,S1PR2,gene,0.0,0.0,0.0
1700,S1PR3,gene,0.0,0.0,0.0
1701,S1PR4,gene,0.0,0.0,0.0
1702,S1PR5,gene,0.0,0.0,0.0
1703,SAV1,gene,0.0,0.0,0.0
1704,SCD,gene,0.0,2.1952769979999998,2.1952769979999998
1705,SCD5,gene,0.0,1.788167068,1.788167068
1706,SCP2,gene,0.0,1.6791943759999999,1.6791943759999999
1707,SCRIB,gene,0.0,0.0,0.0
1708,SEC13,gene,0.0,0.0,0.0
1709,SEH1L,gene,0.0,0.0,0.0
1710,SELE,gene,0.0,0.5819985591999999,0.5819985591999999
1711,SENP2,gene,0.0,0.0,0.0
1712,SERPINB5,gene,0.0,0.0,0.0
1713,SERPINE1,gene,0.0,2.563083178,2.563083178
1714,SERPINF1,gene,0.0,0.0,0.0
1715,SESN1,gene,0.0,0.0,0.0
1716,SESN2,gene,0.0,0.0,0.0
1717,SESN3,gene,0.0,0.0,0.0
1718,SETD7,gene,0.0,0.0,0.0
1719,SFN,gene,0.0,0.0,0.0
1720,SFRP1,gene,0.0,0.0,0.0
1721,SFRP2,gene,0.0,0.0,0.0
1722,SFRP4,gene,0.0,0.0,0.0
1723,SFRP5,gene,0.0,0.0,0.0
1724,SGK1,gene,0.5214035071999998,0.838115622,1.3595191291999997
1725,SGK2,gene,0.2849248268,0.499951184,0.7848760107999999
1726,SGK3,gene,0.501536226,0.462324904,0.96386113
1727,SH2B1,gene,0.0,0.0,0.0
1728,SH2B2,gene,0.0,0.2166138568,0.2166138568
1729,SH2B3,gene,0.2097131887999999,0.2228161096,0.4325292983999999
1730,SH2D2A,gene,0.0,0.0,0.0
1731,SHARPIN,gene,0.0,0.0,0.0
1732,SHC1,gene,1.5947113494,11.2808298436,12.875541193
1733,SHC2,gene,1.4553828478,11.9639373886,13.419320236399999
1734,SHC3,gene,1.1563009869999998,10.4113927172,11.5676937042
1735,SHC4,gene,1.603469297,9.2912824164,10.8947517134
1736,SHH,gene,0.0,0.0,0.0
1737,SHISA5,gene,0.0,0.2163564255999999,0.2163564255999999
1738,SHOC2,gene,0.0,0.0,0.0
1739,SIAH1,gene,0.0,0.339635394,0.339635394
1740,SIK1,gene,0.0,0.44598619119999994,0.44598619119999994
