source,target,type,weight,source_name,target_name
810,1397,gene-gene,0.239815956,HOMER3,PIK3CB
810,1401,gene-gene,0.205933788,HOMER3,PIK3R2
811,990,gene-gene,0.28528101,HRAS,JUN
811,1141,gene-gene,0.272311092,HRAS,MAP3K1
811,1158,gene-gene,0.28885706,HRAS,MAPK1
811,1159,gene-gene,0.2500277771999999,HRAS,MAPK10
811,1160,gene-gene,0.309537896,HRAS,MAPK11
811,1161,gene-gene,0.2191123956,HRAS,MAPK12
811,1162,gene-gene,0.338111284,HRAS,MAPK13
811,1163,gene-gene,0.476114368,HRAS,MAPK14
811,1165,gene-gene,0.3188497879999999,HRAS,MAPK3
811,1173,gene-gene,0.307688324,HRAS,MAPK9
811,1396,gene-gene,0.343521832,HRAS,PIK3CA
811,1397,gene-gene,0.264680886,HRAS,PIK3CB
811,1398,gene-gene,0.28870426,HRAS,PIK3CD
811,1400,gene-gene,0.29164718,HRAS,PIK3R1
811,1401,gene-gene,0.21707551,HRAS,PIK3R2
811,1402,gene-gene,0.26981263,HRAS,PIK3R3
811,1616,gene-gene,0.2251170784599999,HRAS,RASSF1
811,1637,gene-gene,0.235429959,HRAS,RGL2
811,1399,gene-gene,0.2943969039999999,HRAS,PIK3CG
811,1405,gene-gene,0.287538128,HRAS,PIK3R6
811,1526,gene-gene,0.233537268,HRAS,PRKCA
811,1527,gene-gene,0.32051995,HRAS,PRKCB
811,1530,gene-gene,0.294922604,HRAS,PRKCG
811,1801,gene-gene,0.5955390859999999,HRAS,SRC
818,1159,gene-gene,0.2426115868,HSPA1A,MAPK10
818,1173,gene-gene,0.205236604,HSPA1A,MAPK9
820,1159,gene-gene,0.24146326,HSPA1L,MAPK10
822,1159,gene-gene,0.201614796,HSPA6,MAPK10
823,1159,gene-gene,0.246998488,HSPA8,MAPK10
823,1169,gene-gene,0.519988532,HSPA8,MAPK8
823,1173,gene-gene,0.5060873607999999,HSPA8,MAPK9
823,2019,drug-gene,1.0,HSPA8,Dasatinib
837,1268,gene-gene,0.301974006,ICAM1,NFKB1
837,1631,gene-gene,0.252964186,ICAM1,RELA
838,1402,gene-gene,0.2071869168,ICOS,PIK3R3
845,1362,gene-gene,0.278715006,IFNA1,PDGFRB
845,1268,gene-gene,0.504993608,IFNA1,NFKB1
845,1631,gene-gene,0.249583198,IFNA1,RELA
846,1361,gene-gene,0.224935806,IFNA10,PDGFRA
846,1362,gene-gene,0.4890909219999999,IFNA10,PDGFRB
846,1268,gene-gene,0.38154316,IFNA10,NFKB1
846,1631,gene-gene,0.367023752,IFNA10,RELA
847,986,gene-gene,0.2922815179999999,IFNA13,JAK1
847,1361,gene-gene,0.2589516048,IFNA13,PDGFRA
847,1362,gene-gene,0.434780292,IFNA13,PDGFRB
847,1268,gene-gene,0.613324678,IFNA13,NFKB1
847,1631,gene-gene,0.27114993,IFNA13,RELA
848,1361,gene-gene,0.243817788,IFNA14,PDGFRA
848,1362,gene-gene,0.6370093779999999,IFNA14,PDGFRB
848,949,gene-gene,0.241821968,IFNA14,IRF3
848,951,gene-gene,0.2018408103999999,IFNA14,IRF7
848,1268,gene-gene,0.456858272,IFNA14,NFKB1
848,1631,gene-gene,0.360230718,IFNA14,RELA
849,1362,gene-gene,0.5897075380000001,IFNA16,PDGFRB
849,949,gene-gene,0.239783106,IFNA16,IRF3
849,1268,gene-gene,0.6148549400000001,IFNA16,NFKB1
849,1631,gene-gene,0.31101139,IFNA16,RELA
850,1362,gene-gene,0.470503348,IFNA17,PDGFRB
850,1268,gene-gene,0.4869370039999999,IFNA17,NFKB1
850,1631,gene-gene,0.3411820419999999,IFNA17,RELA
851,988,gene-gene,0.243883456,IFNA2,JAK3
851,1362,gene-gene,0.421675928,IFNA2,PDGFRB
851,951,gene-gene,0.2273289624,IFNA2,IRF7
851,1268,gene-gene,0.5056158820000001,IFNA2,NFKB1
851,1631,gene-gene,0.212686974,IFNA2,RELA
852,1361,gene-gene,0.2317550348,IFNA21,PDGFRA
852,1362,gene-gene,0.4162149279999999,IFNA21,PDGFRB
852,1268,gene-gene,0.5209168820000001,IFNA21,NFKB1
852,1631,gene-gene,0.249432784,IFNA21,RELA
853,1362,gene-gene,0.499367664,IFNA4,PDGFRB
853,951,gene-gene,0.218291,IFNA4,IRF7
853,1268,gene-gene,0.316875164,IFNA4,NFKB1
853,1631,gene-gene,0.4016051499999999,IFNA4,RELA
854,1362,gene-gene,0.435311018,IFNA5,PDGFRB
854,949,gene-gene,0.2308790419999999,IFNA5,IRF3
854,1268,gene-gene,0.434944764,IFNA5,NFKB1
854,1631,gene-gene,0.293063435,IFNA5,RELA
855,1361,gene-gene,0.280399796,IFNA6,PDGFRA
855,1362,gene-gene,0.6271803279999999,IFNA6,PDGFRB
855,1268,gene-gene,0.6680676099999999,IFNA6,NFKB1
855,1631,gene-gene,0.39638703,IFNA6,RELA
856,1362,gene-gene,0.484170078,IFNA7,PDGFRB
856,1268,gene-gene,0.525317348,IFNA7,NFKB1
856,1631,gene-gene,0.361975442,IFNA7,RELA
857,1362,gene-gene,0.371114848,IFNA8,PDGFRB
857,951,gene-gene,0.2348786319999999,IFNA8,IRF7
857,1268,gene-gene,0.637887242,IFNA8,NFKB1
857,1631,gene-gene,0.2148190019999999,IFNA8,RELA
859,1811,gene-gene,0.238718608,IFNAR2,STAT1
