gene_idx,gene_name,degree
524,EDN1,3.2390505876019997
525,EDN2,0.20629041555158198
526,EDN3,0.24227269257721537
527,EDNRA,0.39560817342825466
528,EDNRB,0.47281989303632804
529,EEF2,0.045081162539853
530,EEF2K,1.5442768115998529
531,EFCAB7,0.035762496278315
532,EFNA1,7.143387410399999
533,EFNA2,6.8919209896
534,EFNA3,7.192308308199998
535,EFNA4,6.4993551838
536,EFNA5,7.3645933534
537,EGF,13.76233823926
538,EGFR,52.42970616159999
539,EGLN1,0.5590689024599999
540,EGLN2,0.5666245763999999
541,EGLN3,0.6921148207999999
542,EGR1,0.6631129643619851
543,EGR2,0.7878762339999998
544,EGR3,0.53688306864
545,EHHADH,1.918710934
546,EI24,0.1065567084
547,EIF4B,0.3577900928
548,EIF4E,0.22617323779899562
549,EIF4E1B,0.17140999249512892
550,EIF4E2,0.17269148250361752
551,EIF4EBP1,2.688527818
552,ELAVL1,1.332192815355212
553,ELF5,1.4145565448
554,ELK4,2.025961869
555,ELMO1,1.8627276086999998
556,ELOB,0.13620253127960505
557,ELOC,0.1550739985241927
558,ENAH,0.0133295026360042
559,ENO1,0.9542760199999998
560,ENO2,0.430094337
561,ENO3,0.5318824503999999
562,ENO4,0.4730777004399999
563,EP300,24.36599006119
564,EPHA2,30.5215556732
565,EPO,3.7664747980859987
566,EPOR,4.3508812911800065
567,ERBB2,19.222932239540004
568,ERBB3,16.411987698780003
569,ERBB4,21.084271534839996
570,ERBIN,9.57005128857698e-06
571,EREG,7.3352943074
572,ESR1,27.86357842
573,ESR2,17.5279344324
574,ESRRB,0.0023653889625249
575,ETS1,0.531802147
576,ETS2,0.29480919208
577,EVC,0.031297290575531565
578,EVC2,0.04823604348010105
579,EVL,6.397775323790525e-05
580,EXOC2,0.11853520252247515
581,EXOC7,0.00117070123681954
582,F2,0.07911274596740213
583,F2R,1.903007902295447
584,F2RL3,0.055228255417013
585,F3,0.9605015614
586,FABP1,1.5271042659999998
587,FABP3,2.0656467519999997
588,FABP4,1.8448725739999998
589,FADD,0.3555523317156948
590,FADS2,1.91301034
591,FARP2,1.1628041418
592,FAS,0.21263196395225298
593,FASLG,0.0999191729889915
594,FASN,0.0028540064597417
595,FAT4,0.00966337111133664
596,FBP1,0.0669236125999999
597,FBP2,0.074224704
598,FBXO25,0.18375663517000002
599,FBXO32,0.09438953572
600,FBXW11,0.36804555865826566
601,FCER1A,1.0807307666
602,FCER1G,1.42090040854
603,FCGR2B,0.0091525731911823
604,FFAR2,0.5186703947057625
605,FGF1,8.347437495199998
606,FGF10,9.131273513399998
607,FGF17,8.3750318384
608,FGF18,7.392479934800002
609,FGF19,7.7480482266
610,FGF2,15.812285869999998
611,FGF20,8.773999005799999
612,FGF21,8.246194490999999
613,FGF22,8.763053046000001
614,FGF23,7.3255704314
615,FGF3,8.5002960062
616,FGF4,7.789428944799998
617,FGF5,7.881831221939998
618,FGF6,8.393327061
619,FGF7,8.525624961200002
620,FGF8,8.422004665599998
621,FGF9,8.5777555668
622,FGFR1,18.553200365400002
623,FGFR2,35.36967760820001
624,FGFR3,19.393288746799993
625,FGFR4,19.02620849240001
626,FGR,9.274351861199998
627,FLCN,0.3083410840093434
628,FLNB,0.0856671892
629,FLNC,0.0137001665
630,FLOT1,0.1241776046
631,FLOT2,0.0440612467999999
632,FLT1,19.40363159459999
633,FLT3,15.994062259199994
634,FLT3LG,7.549486943600002
635,FLT4,19.240073290199998
636,FMOD,0.06646188043433321
637,FN1,0.41752622731158984
638,FNIP1,0.2679717006458313
639,FNIP2,0.3510622925471555
640,FOS,20.600688484500004
641,FOSB,13.161550378799992
642,FOSL1,14.159708358759998
643,FOXO1,10.605756383072
644,FOXO3,11.077970699415998
645,FPR1,0.026409524443539993
646,FRAT1,0.009678792541968422
647,FRAT2,0.0853221169688821
648,FRMD1,0.013956119606855466
649,FRMD6,0.026718503244174435
650,FRS2,0.4699718918
651,FSHB,0.17198776246435457
652,FSHR,0.1205006559531003
653,FST,0.0269151451456935
654,FXYD1,0.10155169002369704
655,FXYD2,1.5610399674943611
656,FYB1,0.0864488054882805
657,FYN,5.2018661900000005
658,FZD1,0.8712064630761371
659,FZD10,0.9854440090055459
660,FZD2,1.0393883025332504
661,FZD3,0.8820706752180578
662,FZD4,1.0324942403011617
663,FZD5,1.2234395270029348
664,FZD6,0.7873148251060136
665,FZD7,0.810148864979537
666,FZD8,1.245123618205672
667,FZD9,0.7769437922552199
668,G6PC2,3.3854824414068085
669,G6PC3,2.789371425122758
670,GAB1,6.065422076039999
671,GAB2,6.079807076199999
672,GABARAP,0.1690439075027888
673,GABARAPL1,0.07350679696927104
674,GABARAPL2,0.13126093592718127
675,GABBR1,0.5131879988065796
676,GABBR2,0.5924273722409112
677,GADD45A,1.15697084404
678,GADD45B,1.540302624954
679,GADD45G,1.5182199983599998
680,GALT,0.03757801544
681,GAPDH,0.9348856580999999
682,GAS1,0.013144546225873638
683,GATA4,0.7246203385322542
684,GCG,0.2915100612503474
685,GCGR,0.0404129932917343
686,GCK,1.3106962624
687,GDF5,0.18624134406808082
688,GDF6,0.1850978270837832
689,GDF7,0.17424841657161783
690,GDNF,4.691260906739999
691,GFAP,1.7004293739999998
692,GH1,2.696885985201999
693,GH2,3.3753240357439998
694,GHR,3.956209938780812
695,GHRL,0.12859676549250038
696,GHSR,0.4603396588185339
697,GIP,0.19899846254233308
698,GIPR,0.03970340078084092
699,GK2,1.860816777
700,GLI1,4.06892268976
701,GLI2,4.8730905062600005
702,GLI3,3.470273928507999
703,GLP1R,0.07792063218371155
704,GNA11,1.0246019860942213
